Serie # 2;Serie # 2;Serie # 2;Serie # 2;Serie # 2;Serie # 2;Serie # 2;Serie # 2;Serie # 2;Serie # 3;Serie # 3;Serie # 3;Serie # 3;Serie # 3;Serie # 3;Serie # 3;Serie # 3;Serie # 3;Serie # 4;Serie # 4;Serie # 4;Serie # 4;Serie # 4;Serie # 4;Serie # 4;Serie # 4;Serie # 4;Serie # 5;Serie # 5;Serie # 5;Serie # 5;Serie # 5;Serie # 5;Serie # 5;Serie # 5;Serie # 5;Serie # 6;Serie # 6;Serie # 6;Serie # 6;Serie # 6;Serie # 6;Serie # 6;Serie # 6;Serie # 6
Fecha y hora;Tiempo (s);Tiempo bloqueo de fotocompuerta 1 (s);Velocidad en la compuerta (m/s);Tiempo bloqueo de fotocompuerta 2 (s);Velocidad en la compuerta (m/s);Tiempo entre compuertas (s);Vector velocidad entre puertas (m/s);Aceleración entre compuertas (m/s²);Fecha y hora;Tiempo (s);Tiempo bloqueo de fotocompuerta 1 (s);Velocidad en la compuerta (m/s);Tiempo bloqueo de fotocompuerta 2 (s);Velocidad en la compuerta (m/s);Tiempo entre compuertas (s);Vector velocidad entre puertas (m/s);Aceleración entre compuertas (m/s²);Fecha y hora;Tiempo (s);Tiempo bloqueo de fotocompuerta 1 (s);Velocidad en la compuerta (m/s);Tiempo bloqueo de fotocompuerta 2 (s);Velocidad en la compuerta (m/s);Tiempo entre compuertas (s);Vector velocidad entre puertas (m/s);Aceleración entre compuertas (m/s²);Fecha y hora;Tiempo (s);Tiempo bloqueo de fotocompuerta 1 (s);Velocidad en la compuerta (m/s);Tiempo bloqueo de fotocompuerta 2 (s);Velocidad en la compuerta (m/s);Tiempo entre compuertas (s);Vector velocidad entre puertas (m/s);Aceleración entre compuertas (m/s²);Fecha y hora;Tiempo (s);Tiempo bloqueo de fotocompuerta 1 (s);Velocidad en la compuerta (m/s);Tiempo bloqueo de fotocompuerta 2 (s);Velocidad en la compuerta (m/s);Tiempo entre compuertas (s);Vector velocidad entre puertas (m/s);Aceleración entre compuertas (m/s²)
18/07/2022 08:30:29;7,293;0,08;0,7568;;;;;;18/07/2022 08:34:39;4,795;0,06;0,9770;;;;;;18/07/2022 08:41:41;7,780;0,06;1,1149;;;;;;18/07/2022 08:48:52;82,499;0,05;1,2394;;;;;;18/07/2022 08:54:19;6,181;0,05;1,3077;;;;;
18/07/2022 08:30:29;7,557;;;;;;;1,2583;18/07/2022 08:34:39;5,000;;;;;;;2,1117;18/07/2022 08:41:41;7,957;;;;;;;2,7903;18/07/2022 08:48:52;82,659;;;;;;;3,3792;18/07/2022 08:54:19;6,331;;;;;;;3,9183
18/07/2022 08:30:29;7,777;;;;;0,5649;1,06;;18/07/2022 08:34:40;5,170;;;;;0,4379;1,37;;18/07/2022 08:41:42;8,106;;;;;0,3813;1,57;;18/07/2022 08:48:52;82,794;;;;;0,3451;1,74;;18/07/2022 08:54:19;6,457;;;;;0,3227;1,86;
18/07/2022 08:30:29;7,820;;;0,04;1,4200;;;;18/07/2022 08:34:40;5,204;;;0,03;1,8395;;;;18/07/2022 08:41:42;8,135;;;0,03;2,1064;;;;18/07/2022 08:48:52;82,820;;;0,03;2,3273;;;;18/07/2022 08:54:19;6,481;;;0,02;2,4848;;;
18/07/2022 08:31:16;54,678;0,08;0,7562;;;;;;18/07/2022 08:35:01;26,036;0,06;0,9785;;;;;;18/07/2022 08:42:15;41,654;0,06;1,1141;;;;;;18/07/2022 08:49:19;109,706;0,05;1,2389;;;;;;18/07/2022 08:54:45;32,067;0,05;1,3095;;;;;
18/07/2022 08:31:16;54,942;;;;;;;1,2624;18/07/2022 08:35:01;26,240;;;;;;;2,0644;18/07/2022 08:42:15;41,833;;;;;;;2,7737;18/07/2022 08:49:19;109,867;;;;;;;3,3910;18/07/2022 08:54:45;32,217;;;;;;;3,9351
18/07/2022 08:31:17;55,162;;;;;0,5656;1,06;;18/07/2022 08:35:01;26,410;;;;;0,4369;1,37;;18/07/2022 08:42:15;41,982;;;;;0,3824;1,57;;18/07/2022 08:49:20;110,001;;;;;0,3453;1,74;;18/07/2022 08:54:45;32,343;;;;;0,3229;1,86;
18/07/2022 08:31:17;55,206;;;0,04;1,4223;;;;18/07/2022 08:35:01;26,444;;;0,03;1,8206;;;;18/07/2022 08:42:16;42,011;;;0,03;2,1030;;;;18/07/2022 08:49:20;110,028;;;0,03;2,3310;;;;18/07/2022 08:54:45;32,367;;;0,02;2,4927;;;
18/07/2022 08:31:31;69,604;0,08;0,7553;;;;;;18/07/2022 08:35:15;40,473;0,06;0,9798;;;;;;18/07/2022 08:42:39;65,171;0,05;1,1185;;;;;;18/07/2022 08:49:57;147,580;0,05;1,2404;;;;;;18/07/2022 08:55:04;51,559;0,05;1,3114;;;;;
