Serie # 1;Serie # 1;Serie # 1;Serie # 1;Serie # 1;Serie # 1;Serie # 1;Serie # 1;Serie # 1;Serie # 2;Serie # 2;Serie # 2;Serie # 2;Serie # 2;Serie # 2;Serie # 2;Serie # 2;Serie # 2;Serie # 3;Serie # 3;Serie # 3;Serie # 3;Serie # 3;Serie # 3;Serie # 3;Serie # 3;Serie # 3;Serie # 4;Serie # 4;Serie # 4;Serie # 4;Serie # 4;Serie # 4;Serie # 4;Serie # 4;Serie # 4;Serie # 5;Serie # 5;Serie # 5;Serie # 5;Serie # 5;Serie # 5;Serie # 5;Serie # 5;Serie # 5;Serie # 6;Serie # 6;Serie # 6;Serie # 6;Serie # 6;Serie # 6;Serie # 6;Serie # 6;Serie # 6;Serie # 7;Serie # 7;Serie # 7;Serie # 7;Serie # 7;Serie # 7;Serie # 7;Serie # 7;Serie # 7;Serie # 8;Serie # 8;Serie # 8;Serie # 8;Serie # 8;Serie # 8;Serie # 8;Serie # 8;Serie # 8
Fecha y hora;Tiempo (s);Tiempo bloqueo de fotocompuerta 1 (s);Velocidad en la compuerta (m/s);Tiempo bloqueo de fotocompuerta 2 (s);Velocidad en la compuerta (m/s);Tiempo tránsito entre fotocompuertas (s);Vector velocidad entre puertas (m/s);Aceleración entre compuertas (m/s²);Fecha y hora;Tiempo (s);Tiempo bloqueo de fotocompuerta 1 (s);Velocidad en la compuerta (m/s);Tiempo bloqueo de fotocompuerta 2 (s);Velocidad en la compuerta (m/s);Tiempo tránsito entre fotocompuertas (s);Vector velocidad entre puertas (m/s);Aceleración entre compuertas (m/s²);Fecha y hora;Tiempo (s);Tiempo bloqueo de fotocompuerta 1 (s);Velocidad en la compuerta (m/s);Tiempo bloqueo de fotocompuerta 2 (s);Velocidad en la compuerta (m/s);Tiempo tránsito entre fotocompuertas (s);Vector velocidad entre puertas (m/s);Aceleración entre compuertas (m/s²);Fecha y hora;Tiempo (s);Tiempo bloqueo de fotocompuerta 1 (s);Velocidad en la compuerta (m/s);Tiempo bloqueo de fotocompuerta 2 (s);Velocidad en la compuerta (m/s);Tiempo tránsito entre fotocompuertas (s);Vector velocidad entre puertas (m/s);Aceleración entre compuertas (m/s²);Fecha y hora;Tiempo (s);Tiempo bloqueo de fotocompuerta 1 (s);Velocidad en la compuerta (m/s);Tiempo bloqueo de fotocompuerta 2 (s);Velocidad en la compuerta (m/s);Tiempo tránsito entre fotocompuertas (s);Vector velocidad entre puertas (m/s);Aceleración entre compuertas (m/s²);Fecha y hora;Tiempo (s);Tiempo bloqueo de fotocompuerta 1 (s);Velocidad en la compuerta (m/s);Tiempo bloqueo de fotocompuerta 2 (s);Velocidad en la compuerta (m/s);Tiempo tránsito entre fotocompuertas (s);Vector velocidad entre puertas (m/s);Aceleración entre compuertas (m/s²);Fecha y hora;Tiempo (s);Tiempo bloqueo de fotocompuerta 1 (s);Velocidad en la compuerta (m/s);Tiempo bloqueo de fotocompuerta 2 (s);Velocidad en la compuerta (m/s);Tiempo tránsito entre fotocompuertas (s);Vector velocidad entre puertas (m/s);Aceleración entre compuertas (m/s²);Fecha y hora;Tiempo (s);Tiempo bloqueo de fotocompuerta 1 (s);Velocidad en la compuerta (m/s);Tiempo bloqueo de fotocompuerta 2 (s);Velocidad en la compuerta (m/s);Tiempo tránsito entre fotocompuertas (s);Vector velocidad entre puertas (m/s);Aceleración entre compuertas (m/s²)
01/08/2022 08:18:03;8,530;;;0,37;0,2738;;;;01/08/2022 08:35:13;28,953;0,16;0,6216;;;;;;01/08/2022 08:49:42;4,170;0,19;0,5228;;;;;;01/08/2022 08:52:55;5,893;0,20;0,4929;;;;;;01/08/2022 08:58:11;28,555;0,14;0,7024;;;;;;01/08/2022 09:04:59;16,303;0,19;0,5341;;;;;;01/08/2022 09:13:39;8,388;0,19;0,5404;;;;;;01/08/2022 09:15:48;11,338;0,17;0,6026;;;;;
01/08/2022 08:18:04;9,247;;;;;;;-0,01;01/08/2022 08:35:14;29,326;;;;;;;-0,16;01/08/2022 08:49:43;5,032;0,52;0,1926;;;;;;01/08/2022 08:52:56;6,259;;;;;;;0,05;01/08/2022 08:58:11;28,774;;;;;;;0,54;01/08/2022 09:05:00;17,000;;;;;;;-0,20;01/08/2022 09:13:40;9,167;;;;;;;-0,21;01/08/2022 09:15:48;11,891;;;;;;;-0,26
01/08/2022 08:18:04;9,964;0,39;0,2567;;;;;;01/08/2022 08:35:14;29,500;;;;;0,71;0,28;;01/08/2022 08:49:43;5,081;;;;;1,10;0,18;;01/08/2022 08:52:56;6,436;;;;;0,75;0,27;;01/08/2022 08:58:11;28,887;;;;;0,48;0,42;;01/08/2022 09:05:00;17,296;;;;;1,18;0,17;;01/08/2022 09:13:40;9,491;;;;;1,29;0,16;;01/08/2022 09:15:49;12,127;;;;;0,95;0,21;
01/08/2022 08:18:21;26,899;;;;;17,32;0,01;;01/08/2022 08:35:14;29,698;;;0,20;0,5053;;;;01/08/2022 08:49:43;5,228;;;;;;;0,25;01/08/2022 08:52:56;6,625;;;0,19;0,5274;;;;01/08/2022 08:58:11;28,994;;;0,11;0,9396;;;;01/08/2022 09:05:00;17,698;;;0,40;0,2492;;;;01/08/2022 09:13:40;9,947;;;0,46;0,2196;;;;01/08/2022 09:15:49;12,444;;;0,32;0,3150;;;
01/08/2022 08:18:22;27,214;;;0,32;0,3170;;;;01/08/2022 08:35:16;31,544;1,67;0,0599;;;;;;01/08/2022 08:49:43;5,425;;;0,34;0,2908;;;;01/08/2022 08:53:03;13,071;;;1,31;0,0764;;;;01/08/2022 08:58:13;30,431;;;0,34;0,2936;;;;01/08/2022 09:05:01;18,603;;;0,41;0,2453;;;;01/08/2022 09:13:41;10,977;;;0,47;0,2115;;;;01/08/2022 09:15:50;13,152;;;0,33;0,3067;;;
01/08/2022 08:18:22;27,836;;;;;;;-0,02;01/08/2022 08:36:08;83,648;0,19;0,5267;;;;;;01/08/2022 08:49:52;14,802;0,30;0,3332;;;;;;01/08/2022 08:53:09;19,769;;;;;;;0,03;01/08/2022 08:58:24;41,710;;;;;;;0,01;01/08/2022 09:05:13;30,570;;;;;;;0,01;01/08/2022 09:13:54;23,057;;;;;;;0,01;01/08/2022 09:15:58;21,930;;;;;;;0,02
01/08/2022 08:18:23;28,458;0,34;0,2976;;;;;;01/08/2022 08:36:09;84,079;;;;;;;-0,11;01/08/2022 08:49:54;16,084;0,82;0,1216;;;;;;01/08/2022 08:53:16;26,467;0,19;0,5333;;;;;;01/08/2022 08:58:35;52,989;0,17;0,5772;;;;;;01/08/2022 09:05:25;42,536;0,24;0,4133;;;;;;01/08/2022 09:14:06;35,136;0,19;0,5340;;;;;;01/08/2022 09:16:07;30,707;0,17;0,5965;;;;;
01/08/2022 08:18:35;40,886;;;;;12,76;0,02;;01/08/2022 08:36:09;84,280;;;;;54,41;0,00;;01/08/2022 08:49:54;16,205;;;;;1,70;0,12;;01/08/2022 08:53:16;26,972;;;;;0,69;0,29;;01/08/2022 08:58:36;53,381;;;;;0,56;0,35;;01/08/2022 09:05:26;43,790;;;;;1,50;0,13;;01/08/2022 09:14:07;36,305;;;;;1,36;0,15;;01/08/2022 09:16:08;31,519;;;;;0,98;0,20;
01/08/2022 08:18:36;41,214;;;0,33;0,3042;;;;01/08/2022 08:36:09;84,511;;;0,23;0,4345;;;;01/08/2022 08:49:54;16,419;;;;;;;0,09;01/08/2022 08:53:17;27,145;;;0,17;0,5766;;;;01/08/2022 08:58:36;53,510;;;0,13;0,7753;;;;01/08/2022 09:05:27;44,301;;;0,51;0,1960;;;;01/08/2022 09:14:07;36,786;;;0,48;0,2077;;;;01/08/2022 09:16:08;31,841;;;0,32;0,3111;;;
