Serie # 1;Serie # 1;Serie # 1;Serie # 1;Serie # 1;Serie # 1;Serie # 1;Serie # 1;Serie # 1;Serie # 2;Serie # 2;Serie # 2;Serie # 2;Serie # 2;Serie # 2;Serie # 2;Serie # 2;Serie # 2;Serie # 3;Serie # 3;Serie # 3;Serie # 3;Serie # 3;Serie # 3;Serie # 3;Serie # 3;Serie # 3;Serie # 4;Serie # 4;Serie # 4;Serie # 4;Serie # 4;Serie # 4;Serie # 4;Serie # 4;Serie # 4
Fecha y hora;Tiempo (s);Tiempo en la compuerta (s);Velocidad en puerta 1 (m/s);Tiempo bloqueo de fotocompuerta 2 (s);Velocidad en puerta 2 (m/s);Tiempo tránsito entre fotocompuertas (s);Vector velocidad entre puertas (m/s);Aceleración entre compuertas (m/s²);Fecha y hora;Tiempo (s);Tiempo en la compuerta (s);Velocidad en puerta 1 (m/s);Tiempo bloqueo de fotocompuerta 2 (s);Velocidad en puerta 2 (m/s);Tiempo tránsito entre fotocompuertas (s);Vector velocidad entre puertas (m/s);Aceleración entre compuertas (m/s²);Fecha y hora;Tiempo (s);Tiempo en la compuerta (s);Velocidad en puerta 1 (m/s);Tiempo bloqueo de fotocompuerta 2 (s);Velocidad en puerta 2 (m/s);Tiempo tránsito entre fotocompuertas (s);Vector velocidad entre puertas (m/s);Aceleración entre compuertas (m/s²);Fecha y hora;Tiempo (s);Tiempo en la compuerta (s);Velocidad en puerta 1 (m/s);Tiempo bloqueo de fotocompuerta 2 (s);Velocidad en puerta 2 (m/s);Tiempo tránsito entre fotocompuertas (s);Vector velocidad entre puertas (m/s);Aceleración entre compuertas (m/s²)
02/05/2022 08:58:57;71,083;0,1425;0,18;;;;;;02/05/2022 09:03:42;5,320;0,1096;0,23;;;;;;02/05/2022 09:07:07;3,948;0,0231;1,08;;;;;;02/05/2022 09:10:33;3,571;0,0364;0,69;;;;;
02/05/2022 08:59:32;106,451;0,1427;0,18;;;;;;02/05/2022 09:03:54;17,763;0,1098;0,23;;;;;;02/05/2022 09:07:20;16,729;0,0231;1,08;;;;;;02/05/2022 09:10:46;16,939;0,0364;0,69;;;;;
02/05/2022 08:59:50;124,474;0,1424;0,18;;;;;;02/05/2022 09:04:09;32,289;0,1096;0,23;;;;;;02/05/2022 09:07:31;27,069;0,0231;1,08;;;;;;02/05/2022 09:10:55;25,932;0,0364;0,69;;;;;
02/05/2022 09:00:04;138,799;0,1425;0,18;;;;;;02/05/2022 09:04:21;44,169;0,1098;0,23;;;;;;02/05/2022 09:07:41;37,398;0,0231;1,08;;;;;;02/05/2022 09:11:09;39,819;0,0364;0,69;;;;;
02/05/2022 09:00:36;170,571;0,1424;0,18;;;;;;02/05/2022 09:04:33;56,258;0,1095;0,23;;;;;;02/05/2022 09:07:56;52,229;0,0231;1,08;;;;;;02/05/2022 09:11:19;49,992;0,0364;0,69;;;;;
02/05/2022 09:00:48;182,402;0,1423;0,18;;;;;;02/05/2022 09:04:54;77,272;0,1098;0,23;;;;;;02/05/2022 09:08:05;61,808;0,0231;1,08;;;;;;02/05/2022 09:11:41;71,455;0,0364;0,69;;;;;
02/05/2022 09:01:05;199,200;0,1423;0,18;;;;;;02/05/2022 09:05:02;85,037;0,1097;0,23;;;;;;02/05/2022 09:08:21;77,623;0,0231;1,08;;;;;;02/05/2022 09:11:53;83,521;0,0364;0,69;;;;;
02/05/2022 09:01:14;208,150;0,1424;0,18;;;;;;02/05/2022 09:05:11;94,322;0,1099;0,23;;;;;;02/05/2022 09:08:32;88,884;0,0231;1,08;;;;;;02/05/2022 09:12:02;92,975;0,0363;0,69;;;;;
02/05/2022 09:01:23;217,903;0,1422;0,18;;;;;;02/05/2022 09:05:20;103,504;0,1096;0,23;;;;;;02/05/2022 09:08:45;101,536;0,0231;1,08;;;;;;02/05/2022 09:12:12;102,523;0,0364;0,69;;;;;
02/05/2022 09:01:37;231,563;0,1423;0,18;;;;;;02/05/2022 09:05:28;111,047;0,1097;0,23;;;;;;02/05/2022 09:08:54;110,552;0,0231;1,08;;;;;;02/05/2022 09:12:22;112,831;0,0364;0,69;;;;;
