Serie # 1;Serie # 1;Serie # 1;Serie # 1;Serie # 1;Serie # 1;Serie # 1;Serie # 1;Serie # 1;Serie # 2;Serie # 2;Serie # 2;Serie # 2;Serie # 2;Serie # 2;Serie # 2;Serie # 2;Serie # 2;Serie # 3;Serie # 3;Serie # 3;Serie # 3;Serie # 3;Serie # 3;Serie # 3;Serie # 3;Serie # 3;Serie # 4;Serie # 4;Serie # 4;Serie # 4;Serie # 4;Serie # 4;Serie # 4;Serie # 4;Serie # 4;Serie # 5;Serie # 5;Serie # 5;Serie # 5;Serie # 5;Serie # 5;Serie # 5;Serie # 5;Serie # 5;Serie # 6;Serie # 6;Serie # 6;Serie # 6;Serie # 6;Serie # 6;Serie # 6;Serie # 6;Serie # 6;Serie # 7;Serie # 7;Serie # 7;Serie # 7;Serie # 7;Serie # 7;Serie # 7;Serie # 7;Serie # 7;Serie # 8;Serie # 8;Serie # 8;Serie # 8;Serie # 8;Serie # 8;Serie # 8;Serie # 8;Serie # 8;Serie # 9;Serie # 9;Serie # 9;Serie # 9;Serie # 9;Serie # 9;Serie # 9;Serie # 9;Serie # 9
Fecha y hora;Tiempo (s);Tiempo en la compuerta (s);Velocidad en la compuerta (m/s);Tiempo bloqueo de fotocompuerta 2 (s);Velocidad en la compuerta (m/s);Tiempo tránsito entre fotocompuertas (s);Vector velocidad entre puertas (m/s);Aceleración entre compuertas (m/s²);Fecha y hora;Tiempo (s);Tiempo en la compuerta (s);Velocidad en la compuerta (m/s);Tiempo bloqueo de fotocompuerta 2 (s);Velocidad en la compuerta (m/s);Tiempo tránsito entre fotocompuertas (s);Vector velocidad entre puertas (m/s);Aceleración entre compuertas (m/s²);Fecha y hora;Tiempo (s);Tiempo en la compuerta (s);Velocidad en la compuerta (m/s);Tiempo bloqueo de fotocompuerta 2 (s);Velocidad en la compuerta (m/s);Tiempo tránsito entre fotocompuertas (s);Vector velocidad entre puertas (m/s);Aceleración entre compuertas (m/s²);Fecha y hora;Tiempo (s);Tiempo en la compuerta (s);Velocidad en la compuerta (m/s);Tiempo bloqueo de fotocompuerta 2 (s);Velocidad en la compuerta (m/s);Tiempo tránsito entre fotocompuertas (s);Vector velocidad entre puertas (m/s);Aceleración entre compuertas (m/s²);Fecha y hora;Tiempo (s);Tiempo en la compuerta (s);Velocidad en la compuerta (m/s);Tiempo bloqueo de fotocompuerta 2 (s);Velocidad en la compuerta (m/s);Tiempo tránsito entre fotocompuertas (s);Vector velocidad entre puertas (m/s);Aceleración entre compuertas (m/s²);Fecha y hora;Tiempo (s);Tiempo en la compuerta (s);Velocidad en la compuerta (m/s);Tiempo bloqueo de fotocompuerta 2 (s);Velocidad en la compuerta (m/s);Tiempo tránsito entre fotocompuertas (s);Vector velocidad entre puertas (m/s);Aceleración entre compuertas (m/s²);Fecha y hora;Tiempo (s);Tiempo en la compuerta (s);Velocidad en la compuerta (m/s);Tiempo bloqueo de fotocompuerta 2 (s);Velocidad en la compuerta (m/s);Tiempo tránsito entre fotocompuertas (s);Vector velocidad entre puertas (m/s);Aceleración entre compuertas (m/s²);Fecha y hora;Tiempo (s);Tiempo en la compuerta (s);Velocidad en la compuerta (m/s);Tiempo bloqueo de fotocompuerta 2 (s);Velocidad en la compuerta (m/s);Tiempo tránsito entre fotocompuertas (s);Vector velocidad entre puertas (m/s);Aceleración entre compuertas (m/s²);Fecha y hora;Tiempo (s);Tiempo en la compuerta (s);Velocidad en la compuerta (m/s);Tiempo bloqueo de fotocompuerta 2 (s);Velocidad en la compuerta (m/s);Tiempo tránsito entre fotocompuertas (s);Vector velocidad entre puertas (m/s);Aceleración entre compuertas (m/s²)
06/06/2022 08:23:58;10,583;0,03;0,4101;;;;;;06/06/2022 08:29:49;16,003;0,03;0,4076;;;;;;06/06/2022 08:34:09;3,929;0,03;0,4077;;;;;;06/06/2022 08:41:35;17,810;0,02;0,4863;;;;;;06/06/2022 08:45:38;4,492;0,02;0,4866;;;;;;06/06/2022 08:48:58;6,601;0,02;0,4858;;;;;;06/06/2022 09:01:05;4,107;0,02;0,5719;;;;;;06/06/2022 09:03:44;3,880;0,02;0,5742;;;;;;06/06/2022 09:06:26;17,593;0,02;0,5733;;;;;
06/06/2022 08:23:58;10,989;;;;;;;0,20;06/06/2022 08:29:49;16,411;;;;;;;0,20;06/06/2022 08:34:10;4,336;;;;;;;0,20;06/06/2022 08:41:36;18,152;;;;;;;0,28;06/06/2022 08:45:38;4,834;;;;;;;0,28;06/06/2022 08:48:58;6,943;;;;;;;0,28;06/06/2022 09:01:05;4,393;;;;;;;0,40;06/06/2022 09:03:45;4,166;;;;;;;0,40;06/06/2022 09:06:26;17,879;;;;;;;0,39
06/06/2022 08:23:59;11,375;;;;;0,82;0,24;;06/06/2022 08:29:49;16,799;;;;;0,82;0,24;;06/06/2022 08:34:10;4,723;;;;;0,82;0,24;;06/06/2022 08:41:36;18,476;;;;;0,69;0,29;;06/06/2022 08:45:39;5,159;;;;;0,69;0,29;;06/06/2022 08:48:59;7,269;;;;;0,69;0,29;;06/06/2022 09:01:05;4,665;;;;;0,58;0,35;;06/06/2022 09:03:45;4,437;;;;;0,58;0,35;;06/06/2022 09:06:27;18,151;;;;;0,58;0,35;
06/06/2022 08:23:59;11,395;;;0,02;0,5707;;;;06/06/2022 08:29:49;16,820;;;0,02;0,5689;;;;06/06/2022 08:34:10;4,744;;;0,02;0,5680;;;;06/06/2022 08:41:36;18,493;;;0,02;0,6804;;;;06/06/2022 08:45:39;5,176;;;0,02;0,6788;;;;06/06/2022 08:48:59;7,286;;;0,02;0,6794;;;;06/06/2022 09:01:05;4,679;;;0,01;0,7998;;;;06/06/2022 09:03:45;4,451;;;0,01;0,8008;;;;06/06/2022 09:06:27;18,166;;;0,01;0,7971;;;
06/06/2022 08:24:11;23,151;0,03;0,4097;;;;;;06/06/2022 08:30:40;67,787;0,03;0,4078;;;;;;06/06/2022 08:34:20;14,068;0,03;0,4085;;;;;;06/06/2022 08:41:46;28,513;0,02;0,4865;;;;;;06/06/2022 08:46:16;42,526;0,02;0,4879;;;;;;06/06/2022 08:49:09;17,604;0,02;0,4861;;;;;;06/06/2022 09:01:17;16,174;0,02;0,5730;;;;;;06/06/2022 09:04:01;20,392;0,02;0,5735;;;;;;06/06/2022 09:06:37;28,045;0,02;0,5769;;;;;
06/06/2022 08:24:11;23,557;;;;;;;0,20;06/06/2022 08:30:41;68,195;;;;;;;0,20;06/06/2022 08:34:20;14,475;;;;;;;0,20;06/06/2022 08:41:46;28,854;;;;;;;0,29;06/06/2022 08:46:16;42,867;;;;;;;0,28;06/06/2022 08:49:09;17,946;;;;;;;0,28;06/06/2022 09:01:17;16,460;;;;;;;0,40;06/06/2022 09:04:01;20,677;;;;;;;0,40;06/06/2022 09:06:37;28,330;;;;;;;0,39
06/06/2022 08:24:11;23,943;;;;;0,82;0,24;;06/06/2022 08:30:41;68,582;;;;;0,82;0,24;;06/06/2022 08:34:20;14,861;;;;;0,82;0,24;;06/06/2022 08:41:47;29,179;;;;;0,69;0,29;;06/06/2022 08:46:17;43,192;;;;;0,69;0,29;;06/06/2022 08:49:10;18,270;;;;;0,69;0,29;;06/06/2022 09:01:17;16,731;;;;;0,58;0,35;;06/06/2022 09:04:01;20,948;;;;;0,58;0,35;;06/06/2022 09:06:37;28,601;;;;;0,58;0,35;
06/06/2022 08:24:11;23,964;;;0,02;0,5700;;;;06/06/2022 08:30:41;68,603;;;0,02;0,5687;;;;06/06/2022 08:34:20;14,882;;;0,02;0,5688;;;;06/06/2022 08:41:47;29,196;;;0,02;0,6811;;;;06/06/2022 08:46:17;43,209;;;0,02;0,6797;;;;06/06/2022 08:49:10;18,288;;;0,02;0,6804;;;;06/06/2022 09:01:17;16,745;;;0,01;0,8007;;;;06/06/2022 09:04:01;20,963;;;0,01;0,8010;;;;06/06/2022 09:06:37;28,616;;;0,01;0,7994;;;
06/06/2022 08:24:21;33,626;0,03;0,4109;;;;;;06/06/2022 08:31:00;87,832;0,03;0,4079;;;;;;06/06/2022 08:34:30;24,761;0,03;0,4068;;;;;;06/06/2022 08:41:57;39,688;0,02;0,4874;;;;;;06/06/2022 08:46:26;52,403;0,02;0,4869;;;;;;06/06/2022 08:49:31;39,030;0,02;0,4857;;;;;;06/06/2022 09:01:29;28,932;0,02;0,5751;;;;;;06/06/2022 09:04:09;28,933;0,02;0,5738;;;;;;06/06/2022 09:06:56;47,977;0,02;0,5762;;;;;
