Serie # 1;Serie # 1;Serie # 1;Serie # 1;Serie # 1;Serie # 1;Serie # 1;Serie # 1;Serie # 1;Serie # 2;Serie # 2;Serie # 2;Serie # 2;Serie # 2;Serie # 2;Serie # 2;Serie # 2;Serie # 2;Serie # 3;Serie # 3;Serie # 3;Serie # 3;Serie # 3;Serie # 3;Serie # 3;Serie # 3;Serie # 3;Serie # 4;Serie # 4;Serie # 4;Serie # 4;Serie # 4;Serie # 4;Serie # 4;Serie # 4;Serie # 4;Serie # 5;Serie # 5;Serie # 5;Serie # 5;Serie # 5;Serie # 5;Serie # 5;Serie # 5;Serie # 5
Fecha y hora;Tiempo (s);Tiempo bloqueo de fotocompuerta 1 (s);Velocidad en la compuerta (m/s);Tiempo bloqueo de fotocompuerta 2 (s);Velocidad en la compuerta (m/s);Tiempo entre compuertas (s);Vector velocidad entre puertas (m/s);Aceleración entre compuertas (m/s²);Fecha y hora;Tiempo (s);Tiempo bloqueo de fotocompuerta 1 (s);Velocidad en la compuerta (m/s);Tiempo bloqueo de fotocompuerta 2 (s);Velocidad en la compuerta (m/s);Tiempo entre compuertas (s);Vector velocidad entre puertas (m/s);Aceleración entre compuertas (m/s²);Fecha y hora;Tiempo (s);Tiempo bloqueo de fotocompuerta 1 (s);Velocidad en la compuerta (m/s);Tiempo bloqueo de fotocompuerta 2 (s);Velocidad en la compuerta (m/s);Tiempo entre compuertas (s);Vector velocidad entre puertas (m/s);Aceleración entre compuertas (m/s²);Fecha y hora;Tiempo (s);Tiempo bloqueo de fotocompuerta 1 (s);Velocidad en la compuerta (m/s);Tiempo bloqueo de fotocompuerta 2 (s);Velocidad en la compuerta (m/s);Tiempo entre compuertas (s);Vector velocidad entre puertas (m/s);Aceleración entre compuertas (m/s²);Fecha y hora;Tiempo (s);Tiempo bloqueo de fotocompuerta 1 (s);Velocidad en la compuerta (m/s);Tiempo bloqueo de fotocompuerta 2 (s);Velocidad en la compuerta (m/s);Tiempo entre compuertas (s);Vector velocidad entre puertas (m/s);Aceleración entre compuertas (m/s²)
18/07/2022 09:13:09;16,365;0,07;0,8889;;;;;;18/07/2022 09:19:31;16,792;0,07;0,8259;;;;;;18/07/2022 09:25:03;10,599;0,08;0,7710;;;;;;18/07/2022 09:30:53;16,789;0,08;0,7300;;;;;;18/07/2022 09:39:42;20,910;0,09;0,6999;;;;;
18/07/2022 09:13:09;16,589;;;;;;;1,7629;18/07/2022 09:19:32;17,033;;;;;;;1,5322;18/07/2022 09:25:03;10,857;;;;;;;1,3360;18/07/2022 09:30:54;17,062;;;;;;;1,1878;18/07/2022 09:39:43;21,194;;;;;;;1,0823
18/07/2022 09:13:09;16,776;;;;;0,4799;1,25;;18/07/2022 09:19:32;17,235;;;;;0,5172;1,16;;18/07/2022 09:25:04;11,072;;;;;0,5524;1,09;;18/07/2022 09:30:54;17,290;;;;;0,5849;1,03;;18/07/2022 09:39:43;21,432;;;;;0,6106;0,98;
18/07/2022 09:13:09;16,813;;;0,04;1,6777;;;;18/07/2022 09:19:32;17,274;;;0,04;1,5645;;;;18/07/2022 09:25:04;11,114;;;0,04;1,4588;;;;18/07/2022 09:30:54;17,334;;;0,04;1,3778;;;;18/07/2022 09:39:43;21,479;;;0,05;1,3164;;;
18/07/2022 09:13:30;37,343;0,07;0,8852;;;;;;18/07/2022 09:20:04;49,625;0,07;0,8245;;;;;;18/07/2022 09:25:29;36,193;0,08;0,7737;;;;;;18/07/2022 09:31:18;41,918;0,08;0,7301;;;;;;18/07/2022 09:40:15;53,124;0,09;0,7010;;;;;
18/07/2022 09:13:30;37,567;;;;;;;1,7794;18/07/2022 09:20:04;49,865;;;;;;;1,5391;18/07/2022 09:25:29;36,451;;;;;;;1,3441;18/07/2022 09:31:19;42,191;;;;;;;1,1854;18/07/2022 09:40:15;53,408;;;;;;;1,0785
18/07/2022 09:13:30;37,755;;;;;0,4809;1,25;;18/07/2022 09:20:05;50,066;;;;;0,5161;1,16;;18/07/2022 09:25:29;36,666;;;;;0,5524;1,09;;18/07/2022 09:31:19;42,419;;;;;0,5845;1,03;;18/07/2022 09:40:15;53,645;;;;;0,6089;0,99;
18/07/2022 09:13:30;37,791;;;0,04;1,6825;;;;18/07/2022 09:20:05;50,106;;;0,04;1,5647;;;;18/07/2022 09:25:29;36,708;;;0,04;1,4658;;;;18/07/2022 09:31:19;42,463;;;0,04;1,3762;;;;18/07/2022 09:40:15;53,692;;;0,05;1,3137;;;
18/07/2022 09:13:55;62,684;0,07;0,8885;;;;;;18/07/2022 09:20:27;72,968;0,07;0,8273;;;;;;18/07/2022 09:25:47;54,263;0,08;0,7720;;;;;;18/07/2022 09:31:40;63,810;0,08;0,7300;;;;;;18/07/2022 09:40:33;71,330;0,09;0,7014;;;;;
