Serie # 1;Serie # 1;Serie # 2;Serie # 2;Serie # 3;Serie # 3;Serie # 4;Serie # 4;Serie # 5;Serie # 5;Serie # 6;Serie # 6;Serie # 7;Serie # 7;Serie # 8;Serie # 8
Velocidad en la compuerta (m/s);Velocidad en la compuerta (m/s);Velocidad en la compuerta (m/s);Velocidad en la compuerta (m/s);Velocidad en la compuerta (m/s);Velocidad en la compuerta (m/s);Velocidad en la compuerta (m/s);Velocidad en la compuerta (m/s);Velocidad en la compuerta (m/s);Velocidad en la compuerta (m/s);Velocidad en la compuerta (m/s);Velocidad en la compuerta (m/s);Velocidad en la compuerta (m/s);Velocidad en la compuerta (m/s);Velocidad en la compuerta (m/s);Velocidad en la compuerta (m/s)
0,2567;0,2738;0,6216;;0,5228;;0,4929;;0,7024;;0,5341;;0,5404;;0,6026;
0,2976;;;;0,1926;;;;;;;;;;;
0,2831;;;;;;;;;;;;;;;
0,2170;;;0,5053;;;;0,5274;;0,9396;;0,2492;;0,2196;;0,3150
0,2508;0,3170;0,0599;;;0,2908;;0,0764;;0,2936;;0,2453;;0,2115;;0,3067
;;0,5267;;0,3332;;;;;;;;;;;
;;;;0,1216;;0,5333;;0,5772;;0,4133;;0,5340;;0,5965;
;;;;;;;;;;;;;;;
;0,3042;;0,4345;;;;0,5766;;0,7753;;0,1960;;0,2077;;0,3111
;;0,0487;;;0,1818;;0,0705;;0,2438;;0,1905;;0,1983;;0,3032
;;0,7423;;0,1865;;;;;;;;;;;
;;;;0,0642;;0,5901;;0,5686;;0,6975;;0,5181;;0,6457;
;0,2354;;;;;;;;;;;;;;
;;;0,5989;;;;0,6333;;0,7603;;0,3247;;0,2055;;0,3364
;;0,0678;;;0,0925;;0,0927;;0,2390;;0,3201;;0,2021;;0,3293
;;0,5985;;0,2495;;;;;;;;;;;
;0,2706;;;0,0894;;0,7259;;0,5892;;0,7731;;0,6884;;0,6128;
;;;;;;;;;;;;;;;
;;;0,4905;;;;0,7748;;0,7878;;0,3451;;0,2703;;0,3104
;;0,0586;;;0,1315;;0,1004;;0,2453;;0,3380;;0,2623;;0,3034
;;0,6770;;0,4134;;;;;;;;;;;
;;;;0,1496;;0,9714;;0,5333;;0,6539;;0,6509;;0,6202;
;;;;;;;;;;;;;;;
;;;0,5519;;;;1,0166;;0,7188;;0,2947;;0,2560;;0,3200
;;0,0622;;;0,2315;;0,1344;;0,0992;;0,2882;;0,2467;;0,3073
;;0,6864;;0,5062;;;;;;;;;;;
;;;;0,1790;;;;;;;;;;0,4829;
;;;;;;;;;;;;;;;
;;;0,5664;;;;;;;;;;;;0,2527
;;0,0694;;;0,2843;;;;;;;;;;0,2463
